model_name,price,manufacturing_year,engine_capacity,spare_key,transmission,km_driven,ownership,fuel_type,imperfections,repainted_parts
2012 Maruti Wagon R 1.0 LXI CNG,285000,2012,998,Yes,Manual,105803,1,CNG,14,0
2014 Maruti OMNI E STD,279000,2014,796,No,Manual,64243,1,PETROL,25,3
Maruti Dzire,1027000,2019,1197,Yes,Manual,26671,1,PETROL,8,2
2017 Maruti Swift LXI (O),436000,2017,1197,Yes,Manual,23582,1,PETROL,11,6
Volkswagen Polo,667000,2017,1197,Yes,Manual,67130,1,PETROL,8,2
Hyundai Tucson New,1221000,2018,1197,Yes,Manual,86933,2,PETROL,8,2
Hyundai i20,357000,2012,1197,Yes,Manual,59553,2,PETROL,8,2
Maruti Celerio,523000,2019,1197,Yes,Manual,53268,1,CNG,8,2
2014 Maruti Swift Dzire VXI,462000,2014,1197,Yes,Manual,65612,1,PETROL,7,2
Honda Jazz,484000,2017,1197,Yes,Manual,104845,1,PETROL,8,2
Honda City,474000,2013,1197,Yes,Manual,94287,2,PETROL,8,2
Maruti IGNIS,496000,2018,1197,Yes,Manual,107798,1,PETROL,8,2
Honda City,721000,2015,1197,Yes,Manual,23212,1,PETROL,8,2
Maruti Baleno,552000,2019,1197,Yes,Manual,38658,1,PETROL,8,2
Hyundai NEW SANTRO,520000,2021,1197,Yes,Manual,16502,1,PETROL,8,2
Maruti Swift,606000,2019,1197,Yes,Manual,42455,1,PETROL,8,2
Renault Kwid,420000,2018,1197,Yes,Manual,49245,2,PETROL,8,2
Maruti Celerio,456000,2017,1197,Yes,Manual,17472,1,PETROL,8,2
Hyundai Eon,369000,2018,1197,Yes,Manual,17550,1,PETROL,8,2
Mahindra KUV 100 NXT,605000,2018,1197,Yes,Manual,46328,1,PETROL,8,2
Hyundai Verna,525000,2017,1197,Yes,Manual,109832,2,PETROL,8,2
Maruti Wagon R 1.0,412000,2015,1197,Yes,Manual,48361,1,PETROL,8,2
Maruti Ciaz,566000,2016,1197,Yes,Manual,61392,1,PETROL,8,2
Maruti Swift,573000,2018,1197,Yes,Manual,49848,1,PETROL,8,2
2018 Maruti Baleno DELTA CVT PETROL 1.2,518000,2018,1197,Yes,Automatic,104977,1,PETROL,29,3
Maruti New Wagon-R,526000,2019,1197,Yes,Manual,74173,1,CNG,8,2
Volkswagen Polo,761000,2021,1197,Yes,Manual,30088,1,PETROL,8,2
Honda Amaze,400000,2014,1197,Yes,Manual,69762,3,PETROL,8,2
Maruti Alto,391000,2021,1197,Yes,Manual,23479,1,PETROL,8,2
Hyundai Grand i10,555000,2018,1197,Yes,Manual,56129,1,PETROL,8,2
Maruti S Cross,983000,2020,1197,Yes,Manual,39300,1,PETROL,8,2
Maruti Swift,592000,2020,1197,Yes,Manual,57109,1,PETROL,8,2
Hyundai Elite i20,668000,2017,1197,Yes,Manual,86324,1,DIESEL,8,2
Datsun Redi Go,208000,2018,1197,Yes,Manual,16647,1,PETROL,8,2
2016 Maruti Alto K10 VXI AMT,317000,2016,998,No,Automatic,85292,1,PETROL,5,9
Maruti Wagon R 1.0,156000,2010,1197,Yes,Manual,66303,2,PETROL,8,2
Maruti Wagon R 1.0,300000,2010,1197,Yes,Manual,69120,2,PETROL,8,2
Honda City,1262000,2020,1197,Yes,Manual,25437,1,PETROL,8,2
2015 Maruti Wagon R 1.0 VXI,375000,2015,998,No,Manual,29956,1,PETROL,15,1
Hyundai i20,355000,2013,1197,Yes,Manual,32679,2,PETROL,8,2
Maruti Baleno,498000,2017,1197,Yes,Manual,39961,1,PETROL,8,2
Renault Captur,882000,2019,1197,Yes,Manual,26583,1,PETROL,8,2
Hyundai Elite i20,535000,2015,1197,Yes,Manual,44382,1,PETROL,8,2
Maruti Wagon R 1.0,317000,2013,1197,Yes,Manual,92195,1,PETROL,8,2
Maruti S PRESSO,448000,2022,1197,Yes,Manual,6267,1,PETROL,8,2
2021 Maruti New Wagon-R VXI 1.2,542000,2021,1197,Yes,Manual,16495,1,PETROL,8,0
Nissan MAGNITE,741000,2022,1197,Yes,Manual,25315,1,PETROL,8,2
Hyundai NEW SANTRO,443000,2018,1197,Yes,Manual,55363,1,PETROL,8,2
Renault Kwid,335000,2018,1197,Yes,Manual,14627,2,PETROL,8,2
Hyundai Grand i10,326000,2013,1197,Yes,Manual,66983,1,PETROL,8,2
Maruti Swift,340000,2014,1197,Yes,Manual,79320,1,PETROL,8,2
Renault Duster,555000,2015,1197,Yes,Manual,73259,2,DIESEL,8,2
Honda City,229000,2014,1197,Yes,Manual,122143,2,PETROL,8,2
Maruti Swift,744000,2021,1197,Yes,Manual,12045,2,PETROL,8,2
Maruti Swift,705000,2018,1197,Yes,Manual,42059,2,PETROL,8,2
Ford Ecosport,653000,2017,1197,Yes,Manual,61411,1,DIESEL,8,2
Hyundai Elite i20,591000,2018,1197,Yes,Manual,37132,1,PETROL,8,2
Ford FREESTYLE,571000,2018,1197,Yes,Manual,42024,1,PETROL,8,2
Maruti Swift,675000,2018,1197,Yes,Manual,63025,1,PETROL,8,2
Hyundai Creta,773000,2015,1197,Yes,Manual,65655,1,PETROL,8,2
Renault Kwid,449000,2019,1197,Yes,Manual,51237,2,PETROL,8,2
Maruti Baleno,649000,2018,1197,Yes,Manual,75764,2,PETROL,8,2
Toyota Corolla Altis,1289000,2018,1197,Yes,Manual,66349,1,PETROL,8,2
Renault Kiger,815000,2021,1197,Yes,Manual,9862,2,PETROL,8,2
Tata Tiago,469350,2018,1197,Yes,Manual,44540,1,CNG,8,2
Mahindra XUV500,1778000,2021,1197,Yes,Manual,13941,1,DIESEL,8,2
Hyundai Xcent,272000,2019,1197,Yes,Manual,48347,1,DIESEL,8,2
Hyundai Elite i20,566000,2016,1197,Yes,Manual,36037,1,PETROL,8,2
Maruti Alto K10,242200,2013,1197,Yes,Manual,48471,2,PETROL,8,2
Maruti Ciaz,634000,2018,1197,Yes,Manual,25734,1,PETROL,8,2
Toyota Glanza,750000,2020,1197,Yes,Manual,80643,1,PETROL,8,2
Maruti Swift,599000,2014,1197,Yes,Manual,40337,1,PETROL,8,2
Honda City,1014000,2017,1197,Yes,Manual,59373,1,DIESEL,8,2
Tata NEXON,837000,2018,1197,Yes,Manual,106467,1,DIESEL,8,2
Maruti IGNIS,405500,2018,1197,Yes,Manual,68785,1,PETROL,8,2
Hyundai GRAND I10 NIOS,701000,2021,1197,Yes,Manual,34714,1,CNG,8,2
Hyundai VENUE,757000,2020,1197,Yes,Manual,27058,1,PETROL,8,2
Maruti Swift,480000,2015,1197,Yes,Manual,59196,2,PETROL,8,2
Maruti Ritz,313000,2010,1197,Yes,Manual,91149,2,PETROL,8,2
Hyundai i10,234000,2012,1197,Yes,Manual,91518,2,CNG,8,2
Datsun Go Plus,502000,2020,1197,Yes,Manual,23221,1,PETROL,8,2
Hyundai Elite i20,544000,2017,1197,Yes,Manual,45302,1,PETROL,8,2
KIA SELTOS,1246000,2019,1197,Yes,Manual,33250,2,DIESEL,8,2
Maruti Baleno,451000,2016,1197,Yes,Manual,45155,1,PETROL,8,2
Maruti Alto,362000,2019,1197,Yes,Manual,23888,1,PETROL,8,2
Maruti Baleno,546000,2017,1197,Yes,Manual,23879,3,PETROL,8,2
Hyundai Verna,442200,2013,1197,Yes,Manual,78872,2,DIESEL,8,2
Maruti Wagon R 1.0,394000,2015,1197,Yes,Manual,33901,1,PETROL,8,2
Maruti Baleno,667000,2019,1197,Yes,Manual,66714,1,PETROL,8,2
Hyundai Grand i10,328000,2014,1197,Yes,Manual,96601,2,PETROL,8,2
Hyundai Grand i10,477000,2017,1197,Yes,Manual,55734,1,PETROL,8,2
2020 Maruti S PRESSO VXI CNG,429000,2020,998,Yes,Manual,41534,1,CNG,6,4
Maruti Alto 800,273000,2015,1197,Yes,Manual,49692,2,PETROL,8,2
Mahindra XUV500,1086000,2018,1197,Yes,Manual,83294,2,DIESEL,8,2
Maruti Zen Estilo,163000,2012,1197,Yes,Manual,111170,2,PETROL,8,2
Honda Amaze,736000,2017,1197,Yes,Manual,77428,1,PETROL,8,2
2014 Maruti Alto K10 LXI,267000,2014,998,Yes,Manual,63792,1,PETROL,0,0
Maruti Swift,214000,2011,1197,Yes,Manual,65090,1,PETROL,8,2
Skoda Octavia,1415000,2017,1197,Yes,Manual,94157,2,DIESEL,8,2
Tata NEXON,1113000,2022,1197,Yes,Manual,16581,1,PETROL,8,2
Mahindra KUV 100 NXT,427000,2019,1197,Yes,Manual,14998,1,PETROL,8,2
2018 Maruti Dzire ZXI AMT,596000,2018,1197,Yes,Automatic,50947,1,PETROL,6,0
Hyundai Elite i20,551000,2018,1197,Yes,Manual,24248,2,PETROL,8,2
Maruti New Wagon-R,536000,2019,1197,Yes,Manual,30788,1,PETROL,8,2
Renault Kwid,337000,2017,1197,Yes,Manual,28675,1,PETROL,8,2
Hyundai Verna,460000,2018,1197,Yes,Manual,61684,1,PETROL,8,2
Maruti Ciaz,393000,2016,1197,Yes,Manual,77710,2,DIESEL,8,2
Hyundai Verna,721000,2016,1197,Yes,Manual,70922,1,DIESEL,8,2
Maruti Baleno,645000,2019,1197,Yes,Manual,26181,1,PETROL,8,2
Maruti Swift,658000,2021,1197,Yes,Manual,22321,1,PETROL,8,2
2019 Maruti Ciaz ALPHA AT 1.5 SHVS PETROL,904000,2019,1462,Yes,Automatic,49968,1,PETROL,6,2
Maruti Baleno,677000,2017,1197,Yes,Manual,41418,1,PETROL,8,2
2016 Maruti Celerio VXI,301000,2016,998,Yes,Manual,54080,2,PETROL,11,7
Maruti Alto K10,341000,2015,1197,Yes,Manual,30751,1,PETROL,8,2
Hyundai VENUE,1024000,2020,1197,Yes,Manual,37312,1,PETROL,8,2
Tata NEXON,1084000,2021,1197,Yes,Manual,26606,1,DIESEL,8,2
Renault Duster,942000,2020,1197,Yes,Manual,20743,1,PETROL,8,2
Maruti Swift,619000,2018,1197,Yes,Manual,59118,2,PETROL,8,2
2017 Maruti Ciaz ALPHA 1.4 PETROL,642000,2017,1373,No,Manual,43537,1,PETROL,13,4
